39, State-gov, 77516, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 2174, 0, 40, United-States, <=50K
33, Private,167214, Bachelors,13, Never-married, Priv-house-serv, Not-in-family, Other, Male,-56,-3,40, Puerto-Rico, <=50K
47, Local-gov,28508, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,78,1,49, United-States, <=50K
48, Private,150947, HS-grad,8, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,-25,0,39, United-States, >50K
28, Private,51237, Bachelors,10, Never-married, Exec-managerial, Not-in-family, Black, Male,5,-1,50, United-States, <=50K
38, Private,134583, 7th-8th,2, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,58,-4,40, India, <=50K
52, Private,192048, HS-grad,8, Never-married, Sales, Not-in-family, Black, Female,52,0,34, United-States, <=50K
29, State-gov,330034, Bachelors,6, Never-married, Sales, Not-in-family, White, Female,11,2,39, India, <=50K
44, Private,78225, 7th-8th,3, Married-civ-spouse, Sales, Husband, White, Male,55,1958,44, United-States, <=50K
17, ?,93640, HS-grad,9, Never-married, ?, Not-in-family, White, Male,28,-1,39, United-States, <=50K
55, Self-emp-inc,209036, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,-16,1791,59, El-Salvador, <=50K
35, Private,305844, Bachelors,13, Never-married, Exec-managerial, Own-child, White, Male,6889,-2,40, Puerto-Rico, <=50K
22, Private,34288, 10th,6, Never-married, Other-service, Own-child, White, Female,-43,-3,40, United-States, <=50K
29, Private,247269, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,11,-2,24, Jamaica, <=50K
31, Self-emp-not-inc,34233, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,38,0,40, United-States, >50K
66, Self-emp-inc,206199, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Male,47,-3,54, United-States, >50K
33, Private,189211, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,44,2,40, Mexico, >50K
47, Private,377690, Assoc-voc,8, Never-married, Craft-repair, Husband, White, Male,15,0,39, Puerto-Rico, <=50K
48, Private,122228, Bachelors,13, Divorced, Exec-managerial, Unmarried, White, Female,3002,0,50, United-States, <=50K
20, ?,140032, 11th,6, Never-married, ?, Not-in-family, White, Male,26,0,39, Poland, <=50K
34, Private,326503, Some-college,8, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,-49,0,26, Guatemala, <=50K
34, Local-gov,130156, Bachelors,12, Never-married, Sales, Not-in-family, White, Female,-16,-2,40, United-States, >50K
21, ?,182035, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,-74,1,39, United-States, <=50K
58, Private,219792, Doctorate,13, Never-married, Adm-clerical, Wife, Black, Female,27,1851,34, United-States, <=50K
